applicant_id,age,education_level,gig_platforms,num_platforms,work_experience,monthly_income,seasonal_variation,income_volatility,savings_balance,debt_to_income_ratio,credit_score,existing_loans,loan_amount_requested,transaction_frequency,avg_monthly_expenses,credit_card_utilization,subscription_services,financial_emergencies_last_year,inflation_rate,reason_for_loan,platform_ratings,customer_feedback_score,work_consistency,penalties,alternative_income_source,loan_coapplicant,location,urban_rural,avg_platform_tenure,family_dependents,cost_of_living_index,loan_approved
990,41,Graduate,Upwork,1,12.0,49347.0,1.5,10444,147100.0,0.158314112835455,802.0,2,93042,93,28312.0,64,0,1,4.92,Vehicle Purchase,Upwork:3.5,72.9,3,0,Yes,Yes,West Bengal,Rural,45.0,1.0,0.9,1
3867,36,Graduate,"Swiggy, Rapido, UrbanClap",3,,64585.0,1.25,6986,118410.0,0.1817589346016162,900.0,0,17521,65,22104.0,36,4,0,6.35,Vehicle Purchase,Swiggy:3.9; Rapido:4.3; UrbanClap:4.8,91.3,7,0,No,No,Bihar,Urban,34.333333333333336,2.0,0.85,1
3606,31,Graduate,"Swiggy, Zomato, Uber",3,9.0,43691.0,0.9500000000000001,6069,60812.0,0.16661800161569074,721.0,1,10293,52,42782.0,25,2,3,4.53,Business Expansion,Swiggy:4.9; Zomato:4.4; Uber:3.4,88.2,3,0,Yes,No,Karnataka,Rural,10.666666666666666,0.0,1.1,1
1164,59,High School,"UrbanClap, Swiggy, Uber",3,0.0,30434.0,1.0,4525,61608.0,0.24526843896966727,610.0,0,352437,12,35366.0,34,1,4,7.32,Vehicle Purchase,UrbanClap:4.8; Swiggy:3.5; Uber:3.3,82.1,5,0,No,No,Delhi,Urban,29.0,1.0,1.25,0
1300,30,High School,Swiggy,1,6.0,13527.0,0.8500000000000001,3063,29770.0,0.22287316796901552,352.0,0,15064,38,54404.0,22,3,1,7.6,Home Renovation,Swiggy:4.7,90.6,7,1,No,Yes,Bihar,Urban,54.0,1.0,0.85,0
4471,32,High School,Fiverr,1,,57353.0,1.4,4302,89917.0,0.15984549002789933,867.0,0,37310,26,29811.0,63,4,1,3.04,Debt Consolidation,Fiverr:3.4,68.8,1,1,No,No,Maharashtra,Rural,37.0,1.0,1.15,0
2501,41,High School,Uber,1,0.0,,1.45,5886,41178.0,0.22837601134659952,613.0,1,181073,65,34460.0,65,1,1,3.44,Vehicle Purchase,Uber:4.7,92.2,5,0,No,No,Uttar Pradesh,Rural,44.0,1.0,0.95,0
880,27,High School,Zomato,1,,,1.0,6968,84931.0,0.1423434892080779,620.0,0,20522,73,20511.0,79,0,0,3.58,Education,Zomato:4.7,91.3,6,2,No,No,Uttar Pradesh,Urban,39.0,3.0,0.95,0
1396,33,Graduate,Upwork,1,5.0,20527.0,1.05,5320,,0.2710539039344186,515.0,0,303498,33,49079.0,26,3,3,6.74,Business Expansion,Upwork:3.8,71.7,4,0,No,Yes,Karnataka,Urban,52.0,1.0,1.1,0
1690,37,High School,"Rapido, Amazon Flex",2,14.0,34343.0,1.45,7780,44931.0,0.15454036996070802,637.0,0,43508,33,62412.0,67,4,0,3.6,Other,Rapido:4.5; Amazon Flex:4.8,96.6,7,0,Yes,No,Karnataka,Urban,27.0,3.0,1.1,0
4343,48,High School,"Ola, Zomato",2,10.0,19021.0,0.8500000000000001,3597,44574.0,0.22386547943144758,413.0,0,49996,70,68652.0,12,2,4,5.58,Medical Emergency,Ola:4.1; Zomato:4.2,85.3,3,0,No,Yes,Delhi,Rural,38.5,0.0,1.25,0
3161,30,Graduate,Dunzo,1,4.0,,1.0,8491,66469.0,0.2674962401203066,578.0,0,28741,25,63617.0,28,1,4,4.01,Home Renovation,Dunzo:3.8,78.9,7,0,No,No,Bihar,Urban,7.0,2.0,0.85,0
4586,26,,Zomato,1,0.0,,1.25,10164,70156.0,0.20773029005494648,735.0,0,482094,40,68945.0,17,3,4,4.69,Education,Zomato:3.7,76.1,7,1,No,No,West Bengal,Rural,36.0,2.0,0.9,0
3558,25,High School,"Amazon Flex, UrbanClap",2,4.0,23703.0,1.0,3878,40858.0,0.16851141466273933,459.0,2,35728,84,67758.0,67,2,3,3.08,Business Expansion,Amazon Flex:4.9; UrbanClap:4.1,92.4,1,1,No,No,Karnataka,Rural,10.5,,1.1,0
3465,33,,"Upwork, UrbanClap",2,13.0,13054.0,1.1,1020,35978.0,0.15248637577307686,403.0,0,246828,94,13925.0,63,1,0,5.46,Home Renovation,Upwork:3.5; UrbanClap:3.3,68.8,2,0,Yes,Yes,Delhi,Rural,56.5,2.0,1.25,0
1343,40,Graduate,Uber,1,6.0,40967.0,1.25,10204,64795.0,0.20261383054381293,669.0,0,20178,65,8346.0,30,2,1,7.46,Vehicle Purchase,Uber:3.6,74.8,5,0,Yes,No,Delhi,Rural,6.0,2.0,1.25,0
